Use cases,Module (ID),Category,Section,Field (label),Purpose / definition,Required @ go-live,Editable by supplier,Data source,Field Type,Information level (NART vs. Supplier),Dropdown / default source,System of record (after submit),Validation / rules,Used by (workflows),Notes (incl. supplier burden rationale)
MDF,0,General Information,List of impacted NARTs,List of impacted NARTs,Show the supplier the required docuement for the impacted NARTs,Yes,no,Information field (Part of the input from buyer by creating the inquiry workflow in supplier portal.,Information field,Supplier,information only,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,1,General information,Introduction,"Is this product a: Monomer, Polymer or no longer polymer or ""other""?",Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Monomer / Polymer / No-Longer Polymer (NMP) / other,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,1,General information,Introduction,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,1,General information,Introduction,Evaluation Procedures,Supplier must inform the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,2,REACH Registration Status,REACH Registration Status,"Have all substances included in this product been registered? Yes, no, exempt?",,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Listed / Not Listed / Exempt,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,2,REACH Registration Status,REACH Registration Status,Are all substances manufactures/sourced from within the EU?,Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,All substances manufactured/sourced from within the EU / Not all or no substances manufactured/sourced from within the EU,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,2,REACH,REACH Registration Status,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,2,REACH,REACH Registration Status,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,3,REACH,REACh regulation No 1907/2006/EC,"SVHC candidate list (current revision)
Applies to all purchased products and packaging.",Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Complaint / Not Compliant,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,3,REACH,REACh regulation No 1907/2006/EC,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,3,REACH,REACh regulation No 1907/2006/EC,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,3,REACH,REACh regulation No 1907/2006/EC,"Annex XIV plus amendments (current revision)
Applies to all purchased products and packaging.",Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Listed / Not Listed / Exempt,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,3,REACH,REACh regulation No 1907/2006/EC,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,3,REACH,REACh regulation No 1907/2006/EC,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,3,REACH,REACh regulation No 1907/2006/EC,"Annex XVII plus amendments (current revision)
Applies to all purchased products and packaging.",Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Complaint / Not Compliant,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,3,REACH,REACh regulation No 1907/2006/EC,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,3,REACH,REACh regulation No 1907/2006/EC,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,4,Legislations,Chemicals prohibition ordinance ChemVerbotsV,Applies to all purchased products and packaging.,Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Complaint / Not Compliant,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,4,Legislations,Chemicals prohibition ordinance ChemVerbotsV,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,4,Legislations,Chemicals prohibition ordinance ChemVerbotsV,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,5,Legislations,POP regulation No 2019/1021/EC,Applies to all purchased products and packaging.,Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Complaint / Not Compliant,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,5,Legislations,POP regulation No 2019/1021/EC,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,5,Legislations,POP regulation No 2019/1021/EC,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,6,Legislations,PFOS/PFOA Directive 2006/122/EU,Applies to all purchased products,Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Complaint / Not Compliant,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,6,Legislations,PFOS/PFOA Directive 2006/122/EU,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,6,Legislations,PFOS/PFOA Directive 2006/122/EU,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,7,Legislations,Packaging directive 94/62/EC,Applies to all packaging materials for production and sales products.,Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Listed / Not Listed / Exempt,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,7,Legislations,Packaging directive 94/62/EC,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,7,Legislations,Packaging directive 94/62/EC,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,8,Legislations,RoHS directive 2011/65/EC incl. amendments,Applies to all purchased products,Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Complaint / Not Compliant,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,8,Legislations,RoHS directive 2011/65/EC incl. amendments,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,8,Legislations,RoHS directive 2011/65/EC incl. amendments,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,9,Legislations,ELV directive 2000/53/EC incl. amendments,Applies to all purchased products,Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Complaint / Not Compliant,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,9,Legislations,ELV directive 2000/53/EC incl. amendments,Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,9,Legislations,ELV directive 2000/53/EC incl. amendments,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,10,Legislations,International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens),"International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens).
Does this product contain any Halogens above the limits emntioed in the standard",Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Yes/No,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,10,Legislations,International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens),"if yes, Please list all inlcuded Halogens with their CAS numbers and concentrations:",Supplier infromation about CAS number for no compliant materials. ,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,10,Legislations,International Electrotechnical Commission (IEC) 61249-2- 21 standard (Halogens),Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,11,Legislations,Deforestation Regulation (EU) 2023/1115 (EUDR) repealing EU Timber Regulation (EU) No 995/2010 (EUTR),Applies to all purchased products,Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Complaint / Not Compliant,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,11,Legislations,Deforestation Regulation (EU) 2023/1115 (EUDR) repealing EU Timber Regulation (EU) No 995/2010 (EUTR),Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,11,Legislations,Deforestation Regulation (EU) 2023/1115 (EUDR) repealing EU Timber Regulation (EU) No 995/2010 (EUTR),Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,12,Requirements,Halal / Kosher requirements,"Is the product conform with Halal / Kosher requirements, certified by a recognized Kosher and Halal certification body?",Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Yes/No,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,12,Requirements,Halal / Kosher requirements,Please confirm that the above-metioned product does not contain any substances of animal origin or ethanol,Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Complaint / Not Compliant,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,12,Requirements,Halal / Kosher requirements,Please list all included substances of animal origin or ethanol with their CAS numbers and concentrations:,Supplier infromation about CAS number for no compliant materials. ,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,12,Requirements,Halal / Kosher requirements,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,13,Requirements,Phthalates,Does this product contain phthalates not listed under ANNEX XVII REACH (entry 51)?,Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Yes/No,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,13,Requirements,Phthalates,Please list all included phthalates except those which are mentioned in ANNEX XVII REACH (entry 51) with their CAS numbers and concentrations:,Supplier infromation about CAS number for no compliant materials. ,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,13,Requirements,Phthalates,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,14,Requirements,Mineral Oil,Does this product contain mineral oils (MOSH/MOAH)?,Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Yes/No,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,14,Requirements,Mineral Oil,Please list all included mineral oils with their CAS numbers and concentrations:,Supplier infromation about CAS number for no compliant materials. ,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,14,Requirements,Mineral Oil,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,15,Requirements,Antimony,Does this product contain antimony or other antimony compounds?,Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Yes/No,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,15,Requirements,Antimony,Please list all included antimony compounds with their CAS numbers and concentrations:,Supplier infromation about CAS number for no compliant materials. ,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,15,Requirements,Antimony,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,16,Requirements,Silicone,Does this product contain silicone or other silicone compounds?,,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Yes/No,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,16,Requirements,Silicone,Please list all included silicone compounds with their CAS numbers and concentrations:,Supplier infromation about CAS number for no compliant materials. ,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,16,Requirements,Silicone,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,17,Requirements,Microplastics / Synthetic polymer microparticles (SPM),Does your product contain any microplastics as mentioned in Commission Regulation (EU) 2023/2055?,Legislative statement from supplier,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Complaint / Not Compliant / Not Affected,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,17,Requirements,Microplastics / Synthetic polymer microparticles (SPM),Declaration of comformidity,Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,17,Requirements,Microplastics / Synthetic polymer microparticles (SPM),Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,18,Requirements,Nanomaterial,Does the product contain any substances classed as a nanomaterial as per Commission Recommendation of 18 October 2011?,,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Yes/No,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
MDF,18,Requirements,Nanomaterial,"If yes, which particle size?
Please list the particle size of the nano substance:",Comments from supplier,Yes,yes,manual entry by supplier,Freetext,NART or NART Group,Free text field from supplier,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,18,Requirements,Nanomaterial,Evaluation Procedures,Supplier must informed the way this topic has been confirmed,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Presumption (without evidence) / Supplier declaration / Material declaration /  Laboratory analysis / Supplier declaration and material declaration / Supplier declaration and laboratory analysis / Material declaration and laboratory ananlysis,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,
MDF,19,Requirements,"Biocides Directive 98/8/EC, as amended by Ordinance EU 528/2012?",Does this product contain any biocidal substances as mentioned in Ordinance EU 528/2012? ,,Yes,yes,manual entry by supplier,Dropdown,NART or NART Group,Yes/No,Keep information as requried in Report & Create PDF based in MDF formular from supplier.,,,Mandatory
